Name,Time,Lat,Longt,Alt,AirTemp,DewPoint,Precip,Pressure,RelativeHumidity,WindDirection,WindGust,WindSpeed,Visibility
4UT01_2005_8_26.n3,12:00:00,40.82944,-111.88222,5350,77.3,44.3,0.0,N/A,31.0,270.0,11.0,5.0,N/A
4UT01_2005_8_26.n3,12:05:00,40.82944,-111.88222,5350,77.6,42.8,0.0,N/A,29.0,180.0,15.0,6.0,N/A
4UT01_2005_8_26.n3,12:10:00,40.82944,-111.88222,5350,77.9,42.1,0.0,N/A,28.0,202.0,10.0,3.0,N/A
4UT01_2005_8_26.n3,12:15:00,40.82944,-111.88222,5350,77.6,44.5,0.0,N/A,31.0,248.0,10.0,6.0,N/A
4UT01_2005_8_26.n3,12:20:00,40.82944,-111.88222,5350,77.7,42.9,0.0,N/A,29.0,292.0,11.0,3.0,N/A
4UT01_2005_8_26.n3,12:25:00,40.82944,-111.88222,5350,78.2,43.3,0.0,N/A,29.0,225.0,15.0,6.0,N/A
4UT01_2005_8_26.n3,12:30:00,40.82944,-111.88222,5350,78.7,42.8,0.0,N/A,28.0,112.0,11.0,5.0,N/A
4UT01_2005_8_26.n3,12:35:00,40.82944,-111.88222,5350,77.9,43.1,0.0,N/A,29.0,68.0,6.0,3.0,N/A
4UT01_2005_8_26.n3,12:40:00,40.82944,-111.88222,5350,78.2,44.2,0.0,N/A,30.0,68.0,11.0,2.0,N/A
4UT01_2005_8_26.n3,12:45:00,40.82944,-111.88222,5350,78.7,41.9,0.0,N/A,27.0,248.0,20.0,9.0,N/A
4UT01_2005_8_26.n3,12:50:00,40.82944,-111.88222,5350,79.0,42.1,0.0,N/A,27.0,180.0,11.0,5.0,N/A
4UT01_2005_8_26.n3,12:55:00,40.82944,-111.88222,5350,78.5,42.7,0.0,N/A,28.0,202.0,8.0,3.0,N/A
690_2005_8_26.n3,12:00:00,43.53260,-112.94775,4950,65.8,22.7,0.0,25.16,19.0,186.0,4.0,2.0,N/A
690_2005_8_26.n3,12:05:00,43.53260,-112.94775,4950,66.6,22.7,0.0,25.16,19.0,78.0,6.0,3.0,N/A
690_2005_8_26.n3,12:10:00,43.53260,-112.94775,4950,66.8,22.0,0.0,25.16,18.0,128.0,5.0,3.0,N/A
690_2005_8_26.n3,12:15:00,43.53260,-112.94775,4950,66.2,22.5,0.0,25.16,19.0,172.0,5.0,3.0,N/A
690_2005_8_26.n3,12:20:00,43.53260,-112.94775,4950,66.9,21.9,0.0,25.16,18.0,35.0,7.0,5.0,N/A
690_2005_8_26.n3,12:25:00,43.53260,-112.94775,4950,67.5,21.9,0.0,25.16,18.0,337.0,7.0,3.0,N/A
690_2005_8_26.n3,12:30:00,43.53260,-112.94775,4950,67.9,22.4,0.0,25.16,18.0,132.0,7.0,4.0,N/A
690_2005_8_26.n3,12:35:00,43.53260,-112.94775,4950,68.7,22.8,0.0,25.16,17.0,116.0,10.0,6.0,N/A
690_2005_8_26.n3,12:40:00,43.53260,-112.94775,4950,68.4,22.0,0.0,25.16,17.0,264.0,4.0,3.0,N/A
690_2005_8_26.n3,12:45:00,43.53260,-112.94775,4950,68.7,21.5,0.0,25.16,17.0,47.0,6.0,4.0,N/A
690_2005_8_26.n3,12:50:00,43.53260,-112.94775,4950,70.0,21.2,0.0,25.16,16.0,50.0,8.0,5.0,N/A
690_2005_8_26.n3,12:55:00,43.53260,-112.94775,4950,70.5,21.3,0.0,25.16,15.0,130.0,14.0,6.0,N/A
A01_2005_8_26.n3,12:00:00,37.0339,-116.0989,4149,89.0,0.0,0.0,N/A,0.0,218.0,26.0,14.0,N/A
A01_2005_8_26.n3,12:15:00,37.0339,-116.0989,4149,89.0,85.0,0.0,N/A,88.0,191.0,26.0,18.0,N/A
A01_2005_8_26.n3,12:30:00,37.0339,-116.0989,4149,88.0,85.7,0.0,N/A,93.0,193.0,29.0,22.0,N/A
A01_2005_8_26.n3,12:45:00,37.0339,-116.0989,4149,90.0,88.7,0.0,N/A,96.0,221.0,35.0,23.0,N/A
A02_2005_8_26.n3,12:00:00,37.1428,-116.1117,4435,87.0,N/A,0.0,25.66,N/A,200.0,1.0,1.0,N/A
A02_2005_8_26.n3,12:15:00,37.1428,-116.1117,4435,0.0,N/A,0.0,25.66,N/A,190.0,1.0,1.0,N/A
A02_2005_8_26.n3,12:30:00,37.1428,-116.1117,4435,0.0,N/A,0.0,25.66,N/A,191.0,2.0,1.0,N/A
A02_2005_8_26.n3,12:45:00,37.1428,-116.1117,4435,0.0,N/A,0.0,25.66,N/A,188.0,2.0,1.0,N/A
