Name,Time,Lat,Longt,Alt,AirTemp,DewPoint,Precip,Pressure,RelativeHumidity,WindDirection,WindGust,WindSpeed,Visibility
4UT01_2005_8_26.n3,18:00:00,40.82944,-111.88222,5350,81.6,36.6,0.0,N/A,20.0,270.0,8.0,1.0,N/A
4UT01_2005_8_26.n3,18:05:00,40.82944,-111.88222,5350,81.4,36.5,0.0,N/A,20.0,0.0,9.0,3.0,N/A
4UT01_2005_8_26.n3,18:10:00,40.82944,-111.88222,5350,81.1,36.2,0.0,N/A,20.0,338.0,8.0,2.0,N/A
4UT01_2005_8_26.n3,18:15:00,40.82944,-111.88222,5350,81.3,35.1,0.0,N/A,19.0,315.0,7.0,1.0,N/A
4UT01_2005_8_26.n3,18:20:00,40.82944,-111.88222,5350,81.4,35.2,0.0,N/A,19.0,292.0,7.0,3.0,N/A
4UT01_2005_8_26.n3,18:25:00,40.82944,-111.88222,5350,81.5,35.2,0.0,N/A,19.0,292.0,4.0,0.0,N/A
4UT01_2005_8_26.n3,18:30:00,40.82944,-111.88222,5350,81.4,35.2,0.0,N/A,19.0,0.0,8.0,2.0,N/A
4UT01_2005_8_26.n3,18:35:00,40.82944,-111.88222,5350,81.1,33.6,0.0,N/A,18.0,0.0,7.0,1.0,N/A
4UT01_2005_8_26.n3,18:40:00,40.82944,-111.88222,5350,81.1,33.6,0.0,N/A,18.0,0.0,2.0,0.0,N/A
4UT01_2005_8_26.n3,18:45:00,40.82944,-111.88222,5350,81.4,33.8,0.0,N/A,18.0,338.0,6.0,1.0,N/A
4UT01_2005_8_26.n3,18:50:00,40.82944,-111.88222,5350,81.3,33.7,0.0,N/A,18.0,338.0,4.0,0.0,N/A
4UT01_2005_8_26.n3,18:55:00,40.82944,-111.88222,5350,81.5,33.9,0.0,N/A,18.0,338.0,4.0,0.0,N/A
690_2005_8_26.n3,18:00:00,43.53260,-112.94775,4950,80.1,19.7,0.0,25.09,10.0,260.0,20.0,14.0,N/A
690_2005_8_26.n3,18:05:00,43.53260,-112.94775,4950,79.7,20.2,0.0,25.09,11.0,256.0,17.0,9.0,N/A
690_2005_8_26.n3,18:10:00,43.53260,-112.94775,4950,79.8,21.5,0.0,25.09,11.0,226.0,23.0,13.0,N/A
690_2005_8_26.n3,18:15:00,43.53260,-112.94775,4950,79.6,22.2,0.0,25.09,12.0,221.0,13.0,10.0,N/A
690_2005_8_26.n3,18:20:00,43.53260,-112.94775,4950,78.9,22.6,0.0,25.09,12.0,222.0,17.0,12.0,N/A
690_2005_8_26.n3,18:25:00,43.53260,-112.94775,4950,79.2,21.5,0.0,25.09,12.0,233.0,15.0,12.0,N/A
690_2005_8_26.n3,18:30:00,43.53260,-112.94775,4950,79.2,22.0,0.0,25.09,12.0,232.0,21.0,12.0,N/A
690_2005_8_26.n3,18:35:00,43.53260,-112.94775,4950,79.1,23.2,0.0,25.09,13.0,219.0,19.0,12.0,N/A
690_2005_8_26.n3,18:40:00,43.53260,-112.94775,4950,78.9,22.4,0.0,25.09,12.0,226.0,25.0,18.0,N/A
